key,description
yi[,select a block with [] and yank it
yi{,yank inner block with {
ci{,change inner block with {
di{,delete inner block with {
vi{,visually select inner block with {
yiB,yank inner block with {
ci<,change inner block with <>
no,delete inner block with <>
yi<,yank inner block with <>
ca<,change around block with <>
da<,delete around block with <>
ya<,yank around block with <>
dF>,delete until the previous '>' character
dT>,delete until just before the previous '>' character
cF>,change until the previous '>' character
cF>,change until just before the previous '>' character
yF>,yank until the previous '>' character
yT>,yank until just before the previous '>' character
d?<pattern>,delete until the previous occurrence of <pattern>
c?<pattern>,change until the previous occurrence of <pattern>
y?<pattern>,yank until the previous occurrence of <pattern>
d/<pattern>/,delete until the next occurrence of <pattern>
c/<pattern>/,change until the next occurrence of <pattern>
y/<pattern>,yank until the next occurrence of <pattern>
d%,delete until the matching parenthesis or bracket
c%,change until the matching parenthesis or bracket
y%,yank until the matching parenthesis or bracket
dW,delete the current word
cW,change the current word
yW,yank the current word
db,delete the current block
cab,change the current block
yab,yank the current block
yw,yank word
yW,yank WORD
yy,yank current line
y$,yank to end of line
y0,yank to beginning of line
yG,yank to end of file
ygg,yank to beginning of file
y2w,yank two words
3yy,yank three lines down
3yy,yank three lines up
y$,yank from cursor to end of line
y0,yank from cursor to beginning of line
yG,yank from cursor to end of file
ygg,yank from cursor to beginning of file
y2j,yank two lines down
2yy,yank two lines up
de,delete to end of word
dd,delete current line
3dw,delete three words
2dd,delete two lines down
d2k,delete two lines up
d/word,delete up to next occurrence of 'word'
d?word,delete up to previous occurrence of 'word'
d%,delete to matching parenthesis or bracket
"d2f,","delete up to and including the second occurrence of ','"
"d2F,","delete up to and including the second occurrence of ',' backwards"
d3f.,delete up to and including the third occurrence of '.'
d3F.,delete up to and including the third occurrence of '.' backwards
yW,yank the current WORD
yG,yank from the cursor to the end of the file
d2W,delete the next two WORDS
d/hello,delete until the next occurrence of 'hello'
d?world\,delete until the previous occurrence of 'world'
dF',delete until the previous single quote character
dT',delete until just before the previous single quote character
"di""",delete inside double quotes
di',delete inside single quotes
di(,delete inside parentheses
di[,delete inside square brackets
di{,delete inside curly braces
di<,delete inside angle brackets
di>,delete inside angle brackets
guu,change the current line to lowercase
guaw,change the current word to lowercase
gu$,change from the cursor to the end of the line to lowercase
guG,change from the cursor to the end of the file to lowercase
gu0,change from the cursor to the beginning of the line to lowercase
gu2j,change the next two lines to lowercase
gui(,change the text between matching parentheses to lowercase
"gui""",change the text inside double quotes to lowercase
gui',change the text inside single quotes to lowercase
gui(,change the text inside parentheses to lowercase
gui{,change the text inside curly braces to lowercase
gui[,change the text inside square brackets to lowercase
gui<,change the text inside angle brackets to lowercase
guaw,change the current word and surrounding whitespace to lowercase
guap,change the current paragraph to lowercase
guat,change the current HTML/XML tag to lowercase
gu2w,change the next two words to lowercase
3guj,change the next three lines to lowercase
gUiw,change the current word to uppercase
gUaw,change the current word and surrounding whitespace to uppercase
gU2w,change the next two words to uppercase
gU$,change from the cursor to the end of the line to uppercase
gU0,change from the cursor to the beginning of the line to uppercase
gUgg,change from the cursor to the beginning of the file to uppercase
gUG,change from the cursor to the end of the file to uppercase
gU2j,change the next three lines to uppercase
gggUGG,change the entire file to uppercase
gU3w,change the next three words to uppercase
gU2b,change the previous two words to uppercase
gU2B,change the previous two words to uppercase
gU2B,change the previous two WORDS to uppercase
gU2e,change the next two WORDS to uppercase
*,move to the beginning of the next occurrence of the current word
*e,move to the end of the next occurrence of the current word
#,move to the beginning of the previous occurrence of the current word
#e,move to the end of the previous occurrence of the current word
f<char>,move to the next occurrence of the character under the cursor in the current line
t<char>,move to just before the next occurrence of the character under the cursor in the current line
F<char>,move to the previous occurrence of the character under the cursor in the current line
T<char>,move to just before the previous occurrence of the character under the cursor in the current line
dw,delete the current word
dW,delete the current WORD
cw,change the current word
*cw,change the current word
cW,change the current WORD
cc,change the current line
yaw,yank (copy) the current word
yw,yank the current word
*yW,yank the current WORD
*p,paste the yanked or deleted content after the cursor
P,paste the yanked or deleted content before the cursor
#,Jump to previous instance of the current word
d#,Delete from the cursor to the previous instance of the current word
y#,Yank from the cursor to the previous instance of the current word
c#,Change from the cursor to the previous instance of the current word
db,delete backward word
dB,delete backward WORD
dE,delete to end of WORD
d^,delete to first non-blank character of line
dgn,delete to next search match
dN,delete to previous search match
d3w,delete three words forward
d3b,delete three words backward
d3e,delete to end of third word forward
d3E,delete to end of third WORD forward
d3j$,delete to end of line three lines down
d3k^,delete to first non-blank character of line three lines up
d?pattern,delete backward until the previous occurrence of the pattern
c?pattern,change backward until the previous occurrence of the pattern
y?pattern,yank backward until the previous occurrence of the pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
cgn,change the next occurrence of the search pattern
cgN,change the previous occurrence of the search pattern
ygn,yank the next occurrence of the search pattern
y?pattern,yank the previous occurrence of the search pattern
N,move the cursor to the previous word matching the search pattern
d$,delete from the cursor position to the end of the previous matching line
F<char>,move the cursor to the previous occurrence of <char>
dF<char>,delete from the cursor position to the previous occurrence of <char>
?<pattern>,search for the previous occurrence of <pattern>
d?pattern,delete from the cursor position to the previous occurrence of <pattern>
N,move the cursor to the previous line matching the search pattern
d?pattern,delete from the cursor position to the previous line matching the search pattern
%,"move the cursor to the previous matching parenthesis, bracket, or brace"
d%,"delete from the cursor position to the previous matching parenthesis, bracket, or brace"
N),move the cursor to the previous sentence matching the search pattern
d?pattern,delete from the cursor position to the previous sentence matching the search pattern
ma,mark current position as 'a'
mb,mark current position as 'b'
mc,mark current position as 'c'
md,mark current position as 'd'
d'a,delete from current position to line marked 'a'
d'b,delete from current position to line marked 'b'
y'w,yank from current position to line marked 'w'
y'x,yank from current position to line marked 'x'
c'f,change from current position to line marked 'f'
c'g,change from current position to line marked 'g'
c'a,delete from current position to line marked 'a' and enter insert mode
c`b,delete from current position to line marked 'b' and enter insert mode
ma,set mark 'a' at current cursor position
`a,jump to position marked 'a'
d`a,delete text from current position to position marked 'a'
c`a,change text from current position to position marked 'a'
y`a,yank text from current position to position marked 'a'
d'a,delete text from current position to beginning of line marked 'a'
c`a,change text from current position to beginning of line marked 'a'
y'a,yank text from current position to beginning of line marked 'a'
d`a2l,delete text from current position to position marked 'a' plus two more positions ahead
`c`a2l`,change text from current position to position marked 'a' plus two more positions ahead
y`a2l,yank text from current position to position marked 'a' plus two more positions ahead
y'a+2,yank text from current position to beginning of line marked 'a' plus two more lines ahead
d`a+2,delete text from current position to position marked 'a' plus two more positions ahead
c`a2l,change text from current position to position marked 'a' plus two more positions ahead
d'a+2,delete text from current position to beginning of line marked 'a' plus two more lines ahead
c'a+2,change text from current position to beginning of line marked 'a' plus two more lines ahead
yw,yank current word
yiW,yank current WORD
ye,yank to end of current word
yE,yank to end of current WORD
yiW,yank inner word
yiW,yank inner WORD
yip,yank inner paragraph
yi(,"yank inner block (e.g., parentheses, brackets, braces)"
yF<char>,yank to previous occurrence of <char> in current line
yT<char>,yank to just before previous occurrence of <char> in current line
y/<pattern>,yank up to the next occurrence of <pattern>
y?pattern\,yank up to the previous occurrence of <pattern>
yH,yank to top of screen
yM,yank to middle of screen
yL,yank to bottom of screen
3yy,yank the next three lines
dg;,delete from cursor to last change
c.`,change from cursor to last change
y`.,yank from cursor to last change
d3g;,delete from cursor to third last change
c2g;,change from cursor to second last change
y5g;,yank from cursor to fifth last change
c?pattern,change from cursor to previous match of 'pattern' and then to last change
y*,yank from cursor to next occurrence of word under cursor and then to last change
d$,delete from cursor to end of line and then to last change
c0g;,change from cursor to beginning of line and then to last change
yG,yank from cursor to end of file and then to last change
dggd.,delete from cursor to beginning of file and then to last change
cHg;,change from cursor to top of screen and then to last change
yL,yank from cursor to bottom of screen and then to last change
d%,delete from cursor to matching parenthesis and then to last change
gg,go to the beginning of the file
G,go to the end of the file
yy,yank (copy) the current line
p,paste the yanked or deleted content after the cursor
Ctrl+r,redo the undone change
/pattern,search for 'pattern' in the file
n,move to the next occurrence of the search pattern
N,move to the previous occurrence of the search pattern
:%s/old/new/g, replace all occurrences of 'old' with 'new' in the file
Ctrl+f,scroll forward one page
Ctrl+b,scroll backward one page
Ctrl+d,scroll forward half a page
Ctrl+u,scroll backward half a page
Ctrl+o,jump to previous jump
Ctrl+i,jump to next jump
Ctrl+o Ctrl+o,jump to the jump before the previous jump
Ctrl+i Ctrl+i,jump to the jump after the next jump
3Ctrl+o,jump to the third previous jump
2 Ctrl+i,jump to the second next jump
Ctrl+o,jump to the first jump
Ctrl+o,jump to the last jump
5Ctrl+o,jump to the fifth previous jump
5Ctrl+i,jump to the fifth next jump
Ctrl+o,jump to the first previous jump
Ctrl+i,jump to the last next jump
10Ctrl+o,jump to the tenth previous jump
10Ctrl+i,jump to the tenth next jump
3b,jump to the third previous word
2w,jump to the second next word
ge,jump to the first previous end of word
W,jump to the last next WORD
3Ff,jump to the third previous 'f' character
2fF,jump to the second next 'F' character
mj,set mark 'j' at current cursor position
mZ,set mark 'Z' at current cursor position
d'a,delete from current line to line of mark 'a'
d`a,delete from current cursor position to position of mark 'a'
":.,'ac",change text from current line to line of mark 'a'
c'a,change text from current cursor position to position of mark 'a'
y`a,yank text to unnamed buffer from cursor to position of mark 'a'
Ctrl+o,jump to previous location
Ctrl+i,jump to next location
g;,jump to last change
gv,jump to last visual selection
g;,jump to last change or yank
``,jump to previous location
d2w,delete two words
3dd,delete three lines down
d2f',delete to second occurrence of '
d2t',delete to second occurrence of ' excluding the character
d/hello,delete to first occurrence of 'hello'
d?hello\,delete to first occurrence of 'hello' backwards
d2e,delete to end of second word
d2E,delete to end of second WORD
d2f),delete to second closing parenthesis
d2f],delete to second closing bracket
Ctrl+o,jump to previous location in jump list
Ctrl+i,jump to next location in jump list
"g,",move to newer change location
g;,move to previous change location
dg;,delete text from current position to previous change
u,undo changes up to previous change
yg;,yank text from current position to previous change
gP,paste text before cursor from previous change
q,stop recording macro a
@a,execute macro a
p,paste after cursor
3j,move down 3 lines
0,move to beginning of line
3w,move forward 3 words
d3w,delete 3 words
d3W,delete 3 WORDS
d3e,delete 3 words to end
d3W,delete 3 WORDS to end
d3b,delete 3 words backward
d3B,delete 3 WORDS backward
3x,delete 3 characters forward
d3h,delete 3 characters backward
qa,start recording macro into register 'a'
qb,start recording macro into register 'b'
q1,start recording macro into register '1'
qa,start recording macro into register '!'
qa,"start recording macro into register ','"
qa,start recording macro into register '.'
qa,start recording macro into register ':'
qa10wq,record a macro to move cursor forward by 10 words
qac$jjq,record a macro to change from cursor to the end of the line and the next two lines
qay$2jyq,record a macro to yank from cursor to the end of the line and the next two lines
2dW,delete two WORDS
3dd,delete three lines up
d/word,delete to next occurrence of 'word'
d?word,delete to previous occurrence of 'word'
dF',delete to previous occurrence of '''
dT',delete to just before previous occurrence of '''
d},delete to end of current block or function
"d3f,",delete to third comma on the line
"d3t,",delete to just before third comma on the line
"d3F,",delete to third comma from the right on the line
"d3T,",delete to just before third comma from the right on the line
d3w,delete three words to end of sentences
d3E,delete three words to end of WORDS
d3),delete three sentences forward
d3(,delete three sentences backward
d3{,delete three paragraphs backward
d3j,delete three lines forward from current line
d3k,delete three lines backward from current line
3dd,delete three lines from top of screen
3dd,delete three lines from bottom of screen
3dd,delete three lines from middle of screen
d3Ctrl+D,delete three half-screens down
d3Ctrl+U,delete three half-screens up
d3Ctrl+F,delete three full-screens down
d3Ctrl+B,delete three full-screens up
h,shift the cursor to the left  
h,go left with the cursor  
h,move left by adjusting the cursor
j,bring the cursor to the line below  
j,shift the cursor one line down  
j,slide the cursor to the row below
k,shift the cursor upwards  
k,move the pointer one line up  
k,navigate the cursor to the line above
l,shift the cursor to the right  
l,advance the cursor to the right  
l,navigate the cursor to the right
b,go to the beginning of a word
w,go to the beginning of the next word  
w,advance to the start of the next word
e,navigate to the end of a word
Ctrl+o,go back through the jump history  
Ctrl+o,navigate backwards through the jump history
Ctrl+i,advance through the jump history  
Ctrl+i,progress through the jump history  
Ctrl+i,navigate forward in the jump history
H,jump to the top of the screen  
H,navigate to the screen's top
M,navigate to the center of the display  
M,jump to the middle point on the screen
L,go to the end of the visible screen  
L,navigate to the last line of the current view
i,go into insert mode right before the cursor  
i,activate insert mode directly in front of the cursor  
i,enter insert mode just ahead of the cursor
a,enter insert mode right after the cursor
O,insert a line right above the current line  
O,add a new line just above where you are
ea,add text to the end of the word
Esc,leave insert mode and go to command mode  
Esc,get out of insert mode to enter command mode  
Esc,stop insert mode and change to command mode
r,change one character and go back to command mode  
r,substitute a character and switch to command mode  
r,alter a character then return to command mode
cc,delete a line completely and enter insert mode  
cc,remove the line and switch to insert mode
C,"""substitute the text from the cursor to the line's end"""
s,remove a character and switch to insert mode  
s,erase a character and enter insert mode  
s,get rid of a character and go into insert mode
J,combine the next line with the current line and place a space between them
gJ,combine the next line with the current one without adding space  
gJ,join the line below to the current line with no space
Ctrl+r,repeat the last undone action
.,redo the previous command  
.,execute the command again  
.,rerun the last operation
#yy,duplicate the given count of lines  
#yy,replicate the stated number of lines  
#yy,copy the designated amount of lines
#dd,remove the indicated number of lines  
#dd,delete the selected amount of lines  
#dd,erase the specified line count
P,insert content ahead of the cursor
v,highlight text in character mode  
v,choose text with character mode  
v,pick out text by character mode
V,choose lines with line mode  
V,highlight lines using line mode  
V,mark lines via line mode
Ctrl+v,highlight text with block mode  
Ctrl+v,use block mode to choose text  
Ctrl+v,activate block mode to mark text
aw,highlight a word  
aw,choose a word  
aw,mark a word
ab,highlight a section with ()  
ab,mark a region with ()  
ab,choose a portion using ()
aB,highlight a section using {}  
aB,use {} to mark a block  
aB,choose a block with {}
at,choose a block using <>
at,highlight a section with <>
at,mark a block with <>
ib,highlight the text inside parentheses  
ib,choose the content enclosed by ()  
ib,pick the section within parentheses
iB,highlight the content inside curly braces
iB,choose the text within {}
iB,mark the area enclosed by {}
it,highlight the content within angle brackets  
it,choose the text enclosed by <>  
it,pick the material inside <>
y,copy the selected text with yank  
y,use yank to copy the highlighted text  
y,duplicate the marked text using yank
d,cut the selected text  
d,remove the highlighted text
U,transform the market text to uppercase  
U,convert the market text into all capital letters  
U,switch the market text to all uppercase letters
*,move to the next occurrence of the current word  
*,go to the next spot where the current word appears
#,move to the earlier occurrence of the current word
/pattern,look ahead to find the given pattern  
/pattern,move forward to locate the specified pattern
?pattern,look backwards to find the given pattern  
?pattern,scan in reverse to locate the specified pattern  
?pattern,go back to search for the particular pattern
n,redo the search moving in the same direction
q,end macro recording  
q,halt macro capture
@a,execute macro a  
@a,trigger macro a
@@,replay the previous macro  
@@,execute the last recorded macro again  
@@,redo the last macro execution
2h,shift the cursor two spots to the left  
2h,move the cursor left by two characters  
2h,advance the cursor two positions to the left
3h,shift the cursor left by three characters  
3h,move left with the cursor by three characters  
3h,place the cursor three spaces to the left
5h,shift the cursor five spots to the left  
5h,move the cursor five spaces to the left  
5h,navigate the cursor five positions left
Fx,shift the cursor leftward to find the last instance of character 'x' on this line  
Fx,navigate the cursor back to the earlier 'x' character found on the present line  
Fx,push the cursor left to locate the former occurrence of character 'x' on the line
3Tx,shift the cursor to right before the third last 'x' character on the existing line  
3Tx,position the cursor just in front of the third to last occurrence of 'x' on this line  
3Tx,move the cursor so it's just before the third past 'x' character on the current line
3Tx,slide the cursor left to just beyond the third earlier instance of character 'x' on the same line  
3Tx,shift the cursor to the left until it's right after the third past appearance of character 'x' on this line  
3Tx,move the cursor left to right behind the third earlier occurrence of 'x' character on the line you are on
3b,shift the cursor left until you reach the start of the word three words back
3ge,shift the cursor left to the end of the third word back  
3ge,position the cursor leftward to finish the third word before
3B,"""position the cursor to the start of the third WORD back, including any punctuation"""
3(,position the cursor to the start of the third sentence before this one  
3(,shift the cursor left to the start of the third sentence back  
3(,move the cursor to the left until reaching the beginning of three sentences ago
3{,place the cursor at the start of the third paragraph before the current one  
3{,shift the cursor to the start of the paragraph three paragraphs back  
3{,navigate the cursor left to the start of the third earlier paragraph
3k0,navigate the cursor left to start of the line three lines up  
3k0,shift the cursor to the beginning of the line three lines above to the left  
3k0,position the cursor left at the start of the line three lines back
2j,slide the cursor two lines lower  
2j,shift the cursor two lines down  
2j,navigate the cursor to two lines below
3j,shift the cursor downward by three lines  
3j,move the cursor three lines below
5j,shift the cursor five lines downward  
5j,navigate down five lines with the cursor
10j,go down ten lines with the cursor  
10j,shift the cursor ten lines downward  
10j,advance the cursor ten lines down
2k,shift the cursor two lines upward  
2k,navigate the cursor upward by two lines  
2k,raise the cursor by moving it up two lines
3k,shift the cursor upward by three lines  
3k,navigate the cursor three lines higher
5k,go five lines higher with the cursor  
5k,shift the cursor up by five lines
10k,navigate the cursor ten lines upwards  
10k,shift the cursor ten lines higher  
10k,move the cursor ten lines above
d3j,remove the following three lines  
d3j,erase the next three lines
5cc,alter (remove and begin typing) the upcoming five lines  
5cc,modify (erase and initiate typing) the subsequent five lines  
5cc,revise (delete and commence inserting) the next five lines
k$,shift the cursor up to reach the line's end  
k$,move the cursor upwards until the end of the line  
k$,bring the cursor up to the final point of the line
k0,shift the cursor to the start of the line  
k0,place the cursor at the line's beginning  
k0,bring the cursor up to the start of the line
k^,move the cursor to the first non-empty character at the start of the line  
k^,place the cursor on the first non-blank character in the line  
k^,navigate the cursor to the initial non-space character of the line
Ctrl+b,scroll the cursor up by one entire screen
Ctrl+b,navigate the cursor upward a complete screen
Ctrl+b,move the cursor a full screen length upwards
Ctrl+f,scroll the display down by one complete page  
Ctrl+f,advance the cursor downward by one entire screen  
Ctrl+f,shift the view to bring one whole screen lower
Ctrl+i,shift the cursor to the following cursor location  
Ctrl+i,advance the cursor to the succeeding cursor position  
Ctrl+i,position the cursor at the next cursor spot
ll,shift the cursor right by two characters  
ll,advance the cursor two steps to the right  
ll,slide the cursor two spaces to the right
3l,shift the cursor three places to the right  
3l,advance the cursor three steps to the right  
3l,position the cursor three spots to the right
2b,go back two words  
2b,jump two words backward  
2b,step back two words
2B,go back two WORDS  
2B,step back by two WORDS  
2B,navigate back two WORDS
d2b,remove two words to the left  
d2b,erase the previous two words
d2B,remove the two WORDS behind the cursor  
d2B,erase the last two WORDS  
d2B,delete the two previous WORDS
yiw,copy within word
ciB,alter within block  
ciB,modify text inside block
ciW,modify within WORD  
ciW,alter text inside WORD
diW,remove content within WORD  
diW,eliminate all text inside WORD
2w,jump to the beginning of the word after the next one  
2w,go to the start of the word following the next word
3W,go to the beginning of the third following word  
3W,jump to the start of the third upcoming word  
3W,advance to the start of the third subsequent word
c3w,modify the following three words  
c3w,edit the upcoming three words
caw,alter the text within the surrounding word  
caw,modify the content of the word under the cursor
d2W,remove everything from the cursor to the beginning of the next two words  
d2W,erase from where the cursor is to the start of the following two tokens
ge,jump to the last character of the prior word  
ge,go to the final character of the word before
c2e,alter the word you're on through to the completion of the subsequent word  
c2e,modify the present word until the finish of the following word  
c2e,replace the existing word up to the endpoint of the next word
d0E,"remove text from where the cursor is to the start of the line, covering the end of the current WORD  "
d0E,"erase everything from the cursor position to the start of the line, including the end of the current WORD  "
d0E,"delete all text between the cursor and the start of the current line, capturing the end of the current WORD"
cE,alter text until the token finishes
ye,copy from the cursor to the end of a token
d2E,remove everything up to the end of the second token
c3E,switch to the end of the third token  
c3E,move to the end of the third token  
c3E,navigate to the end of the third token
d2$,remove content up to the end of line two  
d2$,cut text till the conclusion of the second line
d),remove everything from here to the end of the current sentence  
d),erase up to the end of the current sentence  
d),discard all text until the end of the current sentence
0d$,remove text from the start to the finish of the line  
0d$,erase everything from the start of the line to the end  
0d$,clear all content from the line's start to its end
gg0,go to the start of the file  
gg0,navigate to the top of the file  
gg0,jump to the beginning of the file
g_,jump to the last non-blank character on the line  
g_,navigate to the line's final non-empty character  
g_,go to the last character of the line that is not blank
$j,Jump to the line's end and advance to the next line  
$j,Go to the end of the line and move down a line  
$j,Navigate to the line's conclusion and go down to the following line
$k,Go to the end of the line and move up one line  
$k,Navigate to the line's end and then go one line up  
$k,"Jump to the line's end, then shift up by one line"
e$,"Navigate to the end of the current word, and then move to the line's end  "
e$,"Jump to the end of the word you're on, then go to the line's end  "
e$,"Go to the conclusion of the present word, then proceed to the end of the line"
b$,"Navigate to the end of the word before, then reach the line's end  "
b$,"Go to the previous word's end, and then proceed to the end of the line  "
b$,"First, move to the end of the prior word, and then go to the line's end"
0f;$,"Advance to the next instance of ';' on this line, and then proceed to the line's end  "
0f;$,"Jump to the succeeding ';' on the current line, then go to the line's end  "
0f;$,"Proceed to the next ';' on the present line, then move to the line's end"
0t;$,Navigate to right before the next ';' on the current line and then go to the line's end  
0t;$,"Go just before the next ';' on the current line, then move to the line's end  "
0t;$,Move to right before the next occurrence of ';' on the current line and then to the end of the line
gUU,Transform the entire current line to uppercase  
gUU,Convert the whole current line so that it is in uppercase  
gUU,Make the present line completely uppercase
0gu$,Transform the current line to all lowercase  
0gu$,Make the entire current line lowercase  
0gu$,Convert the current line to lowercase
0g~$,Switch the case for the whole current line  
0g~$,Change the casing of the entire present line  
0g~$,Flip the case of the full line you're on
>>,Move the current line one shiftwidth to the right  
>>,Shift the current line to the right by one shiftwidth  
>>,Add one shiftwidth to the indentation of the current line
<<,Shift the current line one shiftwidth to the left  
<<,Move the current line left by one shiftwidth  
<<,Decrease the indentation of the current line by one shiftwidth
gqq,Make the current line conform to the 'textwidth' setting  
gqq,Adjust the current line to be within the 'textwidth' limit  
gqq,Reformat the present line to comply with the 'textwidth' setting
gqG,Rearrange the current line and all subsequent lines to comply with the 'textwidth' setting  
gqG,Adjust the current line along with every line after it to the 'textwidth' configuration  
gqG,Make the current line and any lines that follow conform to the 'textwidth' parameter
2e,go to the end of the next word  
2e,navigate to the final part of the following word  
2e,advance to the last character of the upcoming word
d^,remove text starting at the cursor until the first non-space character of the line  
d^,erase content from where the cursor is to the first non-blank character on the line
c^,alter text from where the cursor is to the line's initial non-blank character  
c^,edit starting from the cursor point up to the first non-blank spot in the line  
c^,modify content beginning at the cursor to the line's first character that isn't blank
y^,copy text starting at the cursor to the first non-space on the line  
y^,store text ranging from the cursor spot to the initial non-blank in the line
c0,"""modify text from the current cursor location to the start of the line"""
cgg,modify text from where the cursor is to the start of the file  
cgg,edit from the current cursor location to the beginning line of the file
cG,modify text from where the cursor is now to the file's last line  
cG,alter content starting at the cursor until you reach the end of the file
cB,"""transform text from cursor back to start of last WORD""  "
cB,"""modify text from where the cursor is to the start of the prior WORD"""
yB,copy from the cursor to the start of the last WORD  
yB,yank from where the cursor is to the start of the preceding WORD  
yB,copy text from the cursor spot to the beginning of the prior WORD
yE,copy text starting at the cursor and stop at the end of the following WORD  
yE,select from the cursor to the end of the next WORD and yank it
cf<char>,move from the current position to the following instance of <char> on this line  
cf<char>,shift from where the cursor is to the next <char> found in the line  
cf<char>,transition from the cursor spot to the next <char> appearance within the same line
yF<char>,copy text from where the cursor is to the next <char> found in the same line
dt<char>,remove everything from the cursor to right before the next <char> on the current line  
dt<char>,erase content starting at the cursor up to just before the next <char> in the line
ct<char>,alter the text from the cursor spot until right before the next <char> found in the line  
ct<char>,modify from where the cursor is to just before the next <char> appears on the current line  
ct<char>,edit text starting at the cursor and ending just before the next <char> in this line
yt<char>,copy the text from the cursor spot to right before the next <char> appears in the line  
yt<char>,duplicate from where the cursor is to just ahead of the upcoming <char> on the line  
yt<char>,grab text starting at the cursor up to before the next <char> in the same line
cF<char>,alter text from where the cursor is to the last <char> in this line  
cF<char>,edit from cursor spot back to the earlier <char> in the current line  
cF<char>,modify content starting from the cursor to the prior <char> on this line
dT<char>,remove text from where the cursor is to just before the last spot of <char> in this line  
dT<char>,erase from the cursor's location up to right before the earlier <char> appearance on this line
cT<char>,move from the cursor to right before the last <char> found earlier in this line  
cT<char>,modify starting at the cursor up to just before the earlier occurrence of <char> in the line  
cT<char>,edit from where the cursor is to just before the previous <char> in this line
yT<char>,copy from where the cursor is to the spot just before the last occurrence of <char> on this line  
yT<char>,duplicate text from the cursor’s position up to the point right before the prior appearance of <char> in the line
c%,"alter from the current cursor spot to the corresponding parenthesis, bracket, or brace  "
c%,"modify the text from where the cursor is to the paired parenthesis, bracket, or brace"
y%,"copy from where the cursor is to the corresponding parenthesis, bracket, or brace"
d{,remove text from where the cursor is to the start of the current paragraph  
d{,remove content from the cursor location back to the beginning of the paragraph  
d{,cut from the cursor back to the start of the paragraph you're in
c{,move from where the cursor is to the start of this paragraph  
c{,modify text between the cursor and the beginning of the paragraph  
c{,alter content from the cursor spot to the beginning of the paragraph
y{,copy text starting from the cursor location to the start of the paragraph  
y{,duplicate text beginning at the cursor spot until the first line of the paragraph  
y{,extract text from where the cursor is to the paragraph's beginning
1G,go to the top line of the file  
1G,navigate to the beginning line of the file  
1G,jump to the starting line of the file
#G,go to line number #  
#G,jump to line number #  
#G,navigate to line number #
Hj,navigate to the top of the screen and down one line  
Hj,go to the top of the display and proceed down one line  
Hj,reach the top of the screen and move down one line
Hk,navigate to the top of the screen then go up a line  
Hk,go up to the top of the screen and then move up one line  
Hk,shift to the top of the screen and then go up one more line
H0,go to the top of the screen and start of the line  
H0,navigate to the screen's top and move to the start of the line  
H0,jump to the upper part of the screen and to the line's beginning
H$,go to the top of the screen and move to the line's end  
H$,jump to the top of your view and go to the end of the line  
H$,navigate to the screen's top and proceed to the line's end
Hw,jump to the top of the screen and start at the beginning of the next word  
Hw,go to the top of the screen and move to the start of the next word  
Hw,navigate to the top of the screen and shift to the beginning of the next word
Hb,jump to the top line of the screen and go to the start of the previous word  
Hb,navigate to the screen's top row and move to the beginning of the last word  
Hb,go to the top of the screen and position at the start of the previous word
Hl,go to the top of the screen and advance one character  
Hl,navigate to the beginning of the screen then move one character forward  
Hl,reach the top of the screen and shift one character ahead
Hh,go to the top of the screen and move one character to the left  
Hh,navigate to the beginning of the screen and step back one character  
Hh,jump to the screen's top and go one spot back
HdG,head to the top of the screen and remove everything from where you are to the end of the file  
HdG,jump to the screen's top and delete everything from your position to the file's end  
HdG,move up to the top of the screen and erase from here to the file's conclusion
Hdd,jump to the top of the screen and remove the current line  
Hdd,navigate to the screen's top and cut the line you are on  
Hdd,go to the top of the display and erase the line you're currently on
Hyy,go to the top of the screen and copy the line you're on  
Hyy,position yourself at the top of the screen and yank the line you are currently on  
Hyy,move up to the screen's top and copy the active line
Hp,navigate to the screen's top and insert content after the current line  
Hp,go to the top of the screen and add after the line you're on  
Hp,head to the uppermost part of the screen and paste following the current line
Hddp,"navigate to the top of the screen, remove the line you are on, and insert it below the next line  "
Hddp,"go to the top of the screen, cut the line you're currently on, and paste it after the following line  "
Hddp,"head to the screen's top, delete the line you're on, and paste it below the next one"
H3j,go to the top of the screen followed by down three lines  
H3j,navigate to the screen's top and then move down three lines  
H3j,get to the top of the screen and then head down three lines
H3k,go to the top of the screen and then up three lines  
H3k,jump to the top of the screen and move up by three lines  
H3k,navigate to the screen's top and go up three lines
Ctrl+g,show the name of the current file and your location  
Ctrl+g,reveal the current file name along with your position  
Ctrl+g,see the current file's name and your current position
dL,remove everything from the cursor position down to the last visible line  
dL,erase the content from where the cursor is to the end of the screen
yL,copy from the cursor down to the screen's end
cL,move from the current position down to the screen's bottom  
cL,modify text starting from the cursor and going down to the end of the screen  
cL,alter content from where the cursor is to the lowest part of the screen
Lw,"go to the end of the screen, then jump to the start of the next word  "
Lw,"navigate to the bottom of the screen, then advance to the beginning of the next word  "
Lw,"move down to the screen's end, then proceed to the start of the next word"
L$,move to the screen's bottom and then to the line's end  
L$,first go to the screen's last part and then move to the line's finish  
L$,navigate to the lowest point of the screen and then to the line's conclusion
L0,go to the bottom of the screen and then to the start of the line  
L0,"navigate to the screen's bottom, then to the line's beginning  "
L0,scroll to the screen bottom and then move to the line start
Lgg,"jump to the screen's bottom, then navigate to the file's top  "
Lgg,"go down to the screen's last line, then head to the start of the file  "
