key,description
da(,select a block with () and delete it
di[,select a block with [] and delete it
va{,select a block with {
yi<,select a block with <> and yank it
yi(,select a block with () and yank it
yi[,select a block with [] and yank it
yi{,yank inner block with {
ci{,change inner block with {
di{,delete inner block with {
vi{,visually select inner block with {
yiB,yank inner block with {
ci<,change inner block with <>
no,delete inner block with <>
yi<,yank inner block with <>
ca<,change around block with <>
da<,delete around block with <>
ya<,yank around block with <>
dF>,delete until the previous '>' character
dT>,delete until just before the previous '>' character
cF>,change until the previous '>' character
cF>,change until just before the previous '>' character
yF>,yank until the previous '>' character
yT>,yank until just before the previous '>' character
d?<pattern>,delete until the previous occurrence of <pattern>
c?<pattern>,change until the previous occurrence of <pattern>
y?<pattern>,yank until the previous occurrence of <pattern>
d/<pattern>/,delete until the next occurrence of <pattern>
c/<pattern>/,change until the next occurrence of <pattern>
y/<pattern>,yank until the next occurrence of <pattern>
d%,delete until the matching parenthesis or bracket
c%,change until the matching parenthesis or bracket
y%,yank until the matching parenthesis or bracket
dW,delete the current word
cW,change the current word
yW,yank the current word
db,delete the current block
cab,change the current block
yab,yank the current block
yw,yank word
yW,yank WORD
yy,yank current line
y$,yank to end of line
y0,yank to beginning of line
yG,yank to end of file
ygg,yank to beginning of file
y2w,yank two words
3yy,yank three lines down
3yy,yank three lines up
y$,yank from cursor to end of line
y0,yank from cursor to beginning of line
yG,yank from cursor to end of file
ygg,yank from cursor to beginning of file
y2j,yank two lines down
2yy,yank two lines up
de,delete to end of word
dd,delete current line
3dw,delete three words
2dd,delete two lines down
d2k,delete two lines up
d/word,delete up to next occurrence of 'word'
d?word,delete up to previous occurrence of 'word'
d%,delete to matching parenthesis or bracket
"d2f,","delete up to and including the second occurrence of ','"
"d2F,","delete up to and including the second occurrence of ',' backwards"
d3f.,delete up to and including the third occurrence of '.'
d3F.,delete up to and including the third occurrence of '.' backwards
yW,yank the current WORD
yG,yank from the cursor to the end of the file
d2W,delete the next two WORDS
d/hello,delete until the next occurrence of 'hello'
d?world\,delete until the previous occurrence of 'world'
dF',delete until the previous single quote character
dT',delete until just before the previous single quote character
"di""",delete inside double quotes
di',delete inside single quotes
di(,delete inside parentheses
di[,delete inside square brackets
di{,delete inside curly braces
di<,delete inside angle brackets
di>,delete inside angle brackets
guu,change the current line to lowercase
guaw,change the current word to lowercase
gu$,change from the cursor to the end of the line to lowercase
guG,change from the cursor to the end of the file to lowercase
gu0,change from the cursor to the beginning of the line to lowercase
gu2j,change the next two lines to lowercase
gui(,change the text between matching parentheses to lowercase
"gui""",change the text inside double quotes to lowercase
gui',change the text inside single quotes to lowercase
gui(,change the text inside parentheses to lowercase
gui{,change the text inside curly braces to lowercase
gui[,change the text inside square brackets to lowercase
gui<,change the text inside angle brackets to lowercase
guaw,change the current word and surrounding whitespace to lowercase
guap,change the current paragraph to lowercase
guat,change the current HTML/XML tag to lowercase
gu2w,change the next two words to lowercase
3guj,change the next three lines to lowercase
gUiw,change the current word to uppercase
gUaw,change the current word and surrounding whitespace to uppercase
gU2w,change the next two words to uppercase
gU$,change from the cursor to the end of the line to uppercase
gU0,change from the cursor to the beginning of the line to uppercase
gUgg,change from the cursor to the beginning of the file to uppercase
gUG,change from the cursor to the end of the file to uppercase
gU2j,change the next three lines to uppercase
gggUGG,change the entire file to uppercase
gU3w,change the next three words to uppercase
gU2b,change the previous two words to uppercase
gU2B,change the previous two words to uppercase
gU2B,change the previous two WORDS to uppercase
gU2e,change the next two WORDS to uppercase
*,move to the beginning of the next occurrence of the current word
*e,move to the end of the next occurrence of the current word
#,move to the beginning of the previous occurrence of the current word
#e,move to the end of the previous occurrence of the current word
f<char>,move to the next occurrence of the character under the cursor in the current line
t<char>,move to just before the next occurrence of the character under the cursor in the current line
F<char>,move to the previous occurrence of the character under the cursor in the current line
T<char>,move to just before the previous occurrence of the character under the cursor in the current line
dw,delete the current word
dW,delete the current WORD
cw,change the current word
*cw,change the current word
cW,change the current WORD
cc,change the current line
yaw,yank (copy) the current word
yw,yank the current word
*yW,yank the current WORD
*p,paste the yanked or deleted content after the cursor
P,paste the yanked or deleted content before the cursor
#,Jump to previous instance of the current word
d#,Delete from the cursor to the previous instance of the current word
y#,Yank from the cursor to the previous instance of the current word
c#,Change from the cursor to the previous instance of the current word
db,delete backward word
dB,delete backward WORD
dE,delete to end of WORD
d^,delete to first non-blank character of line
dgn,delete to next search match
dN,delete to previous search match
d3w,delete three words forward
d3b,delete three words backward
d3e,delete to end of third word forward
d3E,delete to end of third WORD forward
d3j$,delete to end of line three lines down
d3k^,delete to first non-blank character of line three lines up
d?pattern,delete backward until the previous occurrence of the pattern
c?pattern,change backward until the previous occurrence of the pattern
y?pattern,yank backward until the previous occurrence of the pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
cgn,change the next occurrence of the search pattern
cgN,change the previous occurrence of the search pattern
ygn,yank the next occurrence of the search pattern
y?pattern,yank the previous occurrence of the search pattern
N,move the cursor to the previous word matching the search pattern
d$,delete from the cursor position to the end of the previous matching line
F<char>,move the cursor to the previous occurrence of <char>
dF<char>,delete from the cursor position to the previous occurrence of <char>
?<pattern>,search for the previous occurrence of <pattern>
d?pattern,delete from the cursor position to the previous occurrence of <pattern>
N,move the cursor to the previous line matching the search pattern
d?pattern,delete from the cursor position to the previous line matching the search pattern
%,"move the cursor to the previous matching parenthesis, bracket, or brace"
d%,"delete from the cursor position to the previous matching parenthesis, bracket, or brace"
N),move the cursor to the previous sentence matching the search pattern
d?pattern,delete from the cursor position to the previous sentence matching the search pattern
ma,mark current position as 'a'
mb,mark current position as 'b'
mc,mark current position as 'c'
md,mark current position as 'd'
d'a,delete from current position to line marked 'a'
d'b,delete from current position to line marked 'b'
y'w,yank from current position to line marked 'w'
y'x,yank from current position to line marked 'x'
c'f,change from current position to line marked 'f'
c'g,change from current position to line marked 'g'
c'a,delete from current position to line marked 'a' and enter insert mode
c`b,delete from current position to line marked 'b' and enter insert mode
ma,set mark 'a' at current cursor position
`a,jump to position marked 'a'
d`a,delete text from current position to position marked 'a'
c`a,change text from current position to position marked 'a'
y`a,yank text from current position to position marked 'a'
d'a,delete text from current position to beginning of line marked 'a'
c`a,change text from current position to beginning of line marked 'a'
y'a,yank text from current position to beginning of line marked 'a'
d`a2l,delete text from current position to position marked 'a' plus two more positions ahead
`c`a2l`,change text from current position to position marked 'a' plus two more positions ahead
y`a2l,yank text from current position to position marked 'a' plus two more positions ahead
y'a+2,yank text from current position to beginning of line marked 'a' plus two more lines ahead
d`a+2,delete text from current position to position marked 'a' plus two more positions ahead
c`a2l,change text from current position to position marked 'a' plus two more positions ahead
d'a+2,delete text from current position to beginning of line marked 'a' plus two more lines ahead
c'a+2,change text from current position to beginning of line marked 'a' plus two more lines ahead
yw,yank current word
yiW,yank current WORD
ye,yank to end of current word
yE,yank to end of current WORD
yiW,yank inner word
yiW,yank inner WORD
yip,yank inner paragraph
yi(,"yank inner block (e.g., parentheses, brackets, braces)"
yF<char>,yank to previous occurrence of <char> in current line
yT<char>,yank to just before previous occurrence of <char> in current line
y/<pattern>,yank up to the next occurrence of <pattern>
y?pattern\,yank up to the previous occurrence of <pattern>
yH,yank to top of screen
yM,yank to middle of screen
yL,yank to bottom of screen
3yy,yank the next three lines
dg;,delete from cursor to last change
c.`,change from cursor to last change
y`.,yank from cursor to last change
d3g;,delete from cursor to third last change
c2g;,change from cursor to second last change
y5g;,yank from cursor to fifth last change
c?pattern,change from cursor to previous match of 'pattern' and then to last change
y*,yank from cursor to next occurrence of word under cursor and then to last change
d$,delete from cursor to end of line and then to last change
c0g;,change from cursor to beginning of line and then to last change
yG,yank from cursor to end of file and then to last change
dggd.,delete from cursor to beginning of file and then to last change
cHg;,change from cursor to top of screen and then to last change
yL,yank from cursor to bottom of screen and then to last change
d%,delete from cursor to matching parenthesis and then to last change
gg,go to the beginning of the file
G,go to the end of the file
yy,yank (copy) the current line
p,paste the yanked or deleted content after the cursor
Ctrl+r,redo the undone change
/pattern,search for 'pattern' in the file
n,move to the next occurrence of the search pattern
N,move to the previous occurrence of the search pattern
:%s/old/new/g, replace all occurrences of 'old' with 'new' in the file
Ctrl+f,scroll forward one page
Ctrl+b,scroll backward one page
Ctrl+d,scroll forward half a page
Ctrl+u,scroll backward half a page
Ctrl-o,jump to previous jump
Ctrl-i,jump to next jump
Ctrl-o Ctrl-o,jump to the jump before the previous jump
Ctrl-i Ctrl-i,jump to the jump after the next jump
3<C-o>,jump to the third previous jump
2 Ctrl-i,jump to the second next jump
Ctrl-o,jump to the first jump
Ctrl-o,jump to the last jump
5<C-o>,jump to the fifth previous jump
5<C-i>,jump to the fifth next jump
Ctrl-o,jump to the first previous jump
Ctrl-i,jump to the last next jump
10<C-o>,jump to the tenth previous jump
10<C-i>,jump to the tenth next jump
3b,jump to the third previous word
2w,jump to the second next word
ge,jump to the first previous end of word
W,jump to the last next WORD
3Ff,jump to the third previous 'f' character
2fF,jump to the second next 'F' character
mj,set mark 'j' at current cursor position
mZ,set mark 'Z' at current cursor position
d'a,delete from current line to line of mark 'a'
d`a,delete from current cursor position to position of mark 'a'
":.,'a c",change text from current line to line of mark 'a'
c'a,change text from current cursor position to position of mark 'a'
y`a,yank text to unnamed buffer from cursor to position of mark 'a'
Ctrl-o,jump to previous location
Ctrl-i,jump to next location
g;,jump to last change
gv,jump to last visual selection
g;,jump to last change or yank
``,jump to previous location
d2w,delete two words
3dd,delete three lines down
d2f',delete to second occurrence of '
d2t',delete to second occurrence of ' excluding the character
d/hello,delete to first occurrence of 'hello'
d?hello\,delete to first occurrence of 'hello' backwards
d2e,delete to end of second word
d2E,delete to end of second WORD
d2f),delete to second closing parenthesis
d2f],delete to second closing bracket
Ctrl-o,jump to previous location in jump list
Ctrl-i,jump to next location in jump list
"g,",move to newer change location
g;,move to previous change location
dg;,delete text from current position to previous change
u,undo changes up to previous change
yg;,yank text from current position to previous change
gP,paste text before cursor from previous change
q,stop recording macro a
@a,execute macro a
p,paste after cursor
3j,move down 3 lines
0,move to beginning of line
3w,move forward 3 words
d3w,delete 3 words
d3W,delete 3 WORDS
d3e,delete 3 words to end
d3W,delete 3 WORDS to end
d3b,delete 3 words backward
d3B,delete 3 WORDS backward
3x,delete 3 characters forward
d3h,delete 3 characters backward
qa,start recording macro into register 'a'
qb,start recording macro into register 'b'
q1,start recording macro into register '1'
qa,start recording macro into register '!'
qa,"start recording macro into register ','"
qa,start recording macro into register '.'
qa,start recording macro into register ':'
qa10wq,record a macro to move cursor forward by 10 words
qac$jjq,record a macro to change from cursor to the end of the line and the next two lines
qay$2jyq,record a macro to yank from cursor to the end of the line and the next two lines
2dW,delete two WORDS
3dd,delete three lines up
d/word,delete to next occurrence of 'word'
d?word,delete to previous occurrence of 'word'
dF',delete to previous occurrence of '''
dT',delete to just before previous occurrence of '''
d},delete to end of current block or function
"d3f,",delete to third comma on the line
"d3t,",delete to just before third comma on the line
"d3F,",delete to third comma from the right on the line
"d3T,",delete to just before third comma from the right on the line
d3w,delete three words to end of sentences
d3E,delete three words to end of WORDS
d3),delete three sentences forward
d3(,delete three sentences backward
d3{,delete three paragraphs backward
d3j,delete three lines forward from current line
d3k,delete three lines backward from current line
3dd,delete three lines from top of screen
3dd,delete three lines from bottom of screen
3dd,delete three lines from middle of screen
d3Ctrl-D,delete three half-screens down
d3<C-U>,delete three half-screens up
d3<C-F>,delete three full-screens down
d3<C-B>,delete three full-screens up
