key,description
y{,yank from the cursor position to the beginning of the current paragraph
d^,delete from the cursor position to the first non-blank character of the line
c^,change from the cursor position to the first non-blank character of the line
y^,yank from the cursor position to the first non-blank character of the line
d0,delete from the cursor position to the beginning of the line
1G,move to the first line of the file
gg,move to the first line of the file
#G,move to line number #
#gg,move to line number #
G,move to the last line of the file
#G,move to line number #
#gg,move to line number #
#G,move to line number #
#G,move to line number #
#G,move to line number #
#G,move to line number #
#G,move to line number #
#G,move to line number #
#G,move to line number #
#G,move to line number #
#G,move to line number #
#G,move to line number #
#G,move to line number #
#G,move to line number #
Ctrl + b,"move back one full screen

Ctrl + b, Ctrl + b: move back two full screens

Ctrl + b, Ctrl + b, Ctrl + b: move back three full screens

Ctrl + b, 2j: move back one full screen and then down two lines

Ctrl + b, 3k: move back one full screen and then up three lines

Ctrl + b, 5h: move back one full screen and then left five characters

Ctrl + b, 10l: move back one full screen and then right ten characters

Ctrl + b, 2w: move back one full screen and then forward two words

Ctrl + b, 3b: move back one full screen and then backward three words

Ctrl + b, 2e: move back one full screen and then forward to the end of the second word

Ctrl + b, 3E: move back one full screen and then forward to the end of the third WORD

Ctrl + b, 2f"": move back one full screen and then forward to the second occurrence of '""'

Ctrl + b, 3F': move back one full screen and then backward to the third occurrence of '''

Ctrl + b, 2t(: move back one full screen and then forward to just before the second occurrence of '('

Ctrl + b, 3T): move back one full screen and then backward to just before the third occurrence of ')'

Ctrl + b, 2"
Ctrl + f,move forward one full screen
Ctrl + b,move backward one full screen
Ctrl + d,move forward half a screen
Ctrl + u,move backward half a screen
Ctrl + e,move screen down one line
Ctrl + y,move screen up one line
"Ctrl + f, 3j","move forward one full screen, then down three lines"
"Ctrl + b, 2k","move backward one full screen, then up two lines"
"Ctrl + f, 5w","move forward one full screen, then forward five words"
"Ctrl + b, 3b","move backward one full screen, then backward three words"
"Ctrl + f, 2e","move forward one full screen, then forward two words to the end"
"Ctrl + b, 4e","move backward one full screen, then backward four words to the end"
"Ctrl + f, f)","move forward one full screen, then to the next closing parenthesis"
"Ctrl + b, F(","move backward one full screen, then to the previous opening parenthesis"
"Ctrl + f, t,","move forward one full screen, then to the next comma"
"Ctrl + b, T,","move backward one full screen, then to the previous comma"
"Ctrl + f, 3j, 2w","move forward one full screen, then down three lines, then forward two words"
"Ctrl + b, 2k, 3b","move backward one full screen, then up two lines, then backward three words"
"Ctrl + f, 5e, 2e","move forward one full screen, then forward five words to the end, then forward two words to the end"
Ctrl + d,move forward 1/2 a screen
"Ctrl + d, Ctrl + d",move forward 1 screen
"Ctrl + d, 3j",move forward 1/2 a screen and 3 lines down
"Ctrl + d, w",move forward 1/2 a screen and to the beginning of the next word
"Ctrl + d, 2w",move forward 1/2 a screen and to the beginning of the second next word
"Ctrl + d, 3b",move forward 1/2 a screen and to the beginning of the third previous word
"Ctrl + d, 2e",move forward 1/2 a screen and to the end of the second next word
"Ctrl + d, 3ge",move forward 1/2 a screen and to the end of the third previous word
"Ctrl + d, f, 'a'",move forward 1/2 a screen and to the next occurrence of 'a' in the line
"Ctrl + d, F, 'a'",move forward 1/2 a screen and to the previous occurrence of 'a' in the line
"Ctrl + d, t, 'a'",move forward 1/2 a screen and to just before the next occurrence of 'a' in the line
"Ctrl + d, T, 'a'",move forward 1/2 a screen and to just before the previous occurrence of 'a' in the line
"Ctrl + d, /pattern",move forward 1/2 a screen and to the next occurrence of 'pattern'
"Ctrl + d, ?pattern",move forward 1/2 a screen and to the previous occurrence of 'pattern'
"Ctrl + d, n",move forward 1/2 a screen and to the next match of the last search pattern
"Ctrl + d, N",move forward 1/2 a screen and to the previous match of the last search pattern
"Ctrl + d, 3j, w","move forward 1/2 a screen, 3 lines down, and to the beginning of the next word"
"Ctrl + d, 2w, 3b","move forward 1/2 a screen, to the beginning of the second next word, and to the beginning of the third previous word"
"Ctrl + d, 3b, 2e","move forward 1/2 a screen, to the beginning of the third previous word, and to the end of the second next word"
"Ctrl + d, 2e, 3ge","move forward 1/2 a screen, to the end of the second next word, and to the end of the third previous word"
"Ctrl + d, f, 'a', 2w","move forward 1/2 a screen, to the next occurrence of 'a' in the line, and to the beginning of the second next word"
"Ctrl + d, F, 'a', 3b","move forward 1/2 a screen, to the previous occurrence of 'a' in the line, and to the beginning of the third previous word"
"Ctrl + d, t, 'a', 2e","move forward 1/2 a screen, to just before the next occurrence of 'a' in the line, and to the end of the second next word"
"Ctrl + d, T, 'a', 3ge","move forward 1/2 a screen, to just before the previous occurrence of 'a' in the line, and to the end of the third previous word"
Ctrl + u,move back 1/2 a screen
Ctrl + d,move forward 1/2 a screen
Ctrl + f,move forward 1 full screen
Ctrl + b,move back 1 full screen
gg,move to the beginning of the file
G,move to the end of the file
H,move to the top of the screen
M,move to the middle of the screen
L,move to the bottom of the screen
5j,move down 5 lines
5k,move up 5 lines
w,move to the beginning of the next word
b,move to the beginning of the previous word
e,move to the end of the current word
0,move to the beginning of the current line
$,move to the end of the current line
f<char>,move to the next occurrence of <char> in the current line
F<char>,move to the previous occurrence of <char> in the current line
t<char>,move to just before the next occurrence of <char> in the current line
T<char>,move to just after the previous occurrence of <char> in the current line
Ctrl + e,move screen down one line (without moving the cursor)
"Ctrl + e, Ctrl + e",move screen down two lines (without moving the cursor)
"Ctrl + e, Ctrl + e, Ctrl + e",move screen down three lines (without moving the cursor)
"Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e",move screen down four lines (without moving the cursor)
"Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e",move screen down five lines (without moving the cursor)
"Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e",move screen down six lines (without moving the cursor)
"Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e",move screen down seven lines (without moving the cursor)
"Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e",move screen down eight lines (without moving the cursor)
"Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e",move screen down nine lines (without moving the cursor)
"Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e",move screen down ten lines (without moving the cursor)
"Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e",move screen down eleven lines (without moving the cursor)
"Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e",move screen down twelve lines (without moving the cursor)
"Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e",move screen down thirteen lines (without moving the cursor)
"Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e",move screen down fourteen lines (without moving the cursor)
"Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e",move screen down fifteen lines (without moving the cursor)
"Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e",move screen down sixteen lines (without moving the cursor)
"Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e",move screen down seventeen lines (without moving the cursor)
"Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e, Ctrl + e",move screen down eighteen lines (without moving the cursor)
Ctrl + y,move screen up one line (without moving the cursor)
"Ctrl + y, Ctrl + y",move screen up two lines (without moving the cursor)
"Ctrl + y, 3j",move screen up one line and then move cursor down three lines
"Ctrl + y, 2k",move screen up one line and then move cursor up two lines
"Ctrl + y, 0d$",move screen up one line and then delete from cursor to end of line
"Ctrl + y, 3w",move screen up one line and then move cursor forward three words
"Ctrl + y, 2b",move screen up one line and then move cursor backward two words
"Ctrl + y, 3e",move screen up one line and then move cursor forward to end of third word
"Ctrl + y, 2f""",move screen up one line and then move cursor forward to second occurrence of double quote
"Ctrl + y, 3F'",move screen up one line and then move cursor backward to third occurrence of single quote
"Ctrl + y, 2t(",move screen up one line and then move cursor forward until just before second occurrence of left parenthesis
"Ctrl + y, 3T)",move screen up one line and then move cursor backward until just before third occurrence of right parenthesis
"Ctrl + y, 2%","move screen up one line and then move cursor to matching parenthesis, bracket, or brace"
"Ctrl + y, 2$",move screen up one line and then move cursor to the end of the current line
"Ctrl + y, 3^",move screen up one line and then move cursor to the first non-blank character of the current line
"Ctrl + y, 2gg",move screen up one line and then move cursor to the beginning of the document
"Ctrl + y, 3G",move screen up one line and then move cursor to the end of the document
Ctrl + o,move backward through the jump history
"Ctrl + o, Ctrl + o",move backward through the jump history twice
"Ctrl + o, Ctrl + i",move backward and then forward through the jump history
"Ctrl + o, Ctrl + o, Ctrl + o",move backward through the jump history three times
"Ctrl + o, Ctrl + i, Ctrl + o","move backward, forward, and then backward through the jump history"
"Ctrl + o, Ctrl + i, Ctrl + i",move backward and then forward twice through the jump history
"Ctrl + o, Ctrl + i, Ctrl + o, Ctrl + i","move backward, forward, backward, and then forward through the jump history"
"Ctrl + o, Ctrl + o, Ctrl + i",move backward twice and then forward through the jump history
"Ctrl + o, Ctrl + o, Ctrl + o, Ctrl + i",move backward three times and then forward through the jump history
"Ctrl + o, Ctrl + o, Ctrl + o, Ctrl + o",move backward four times through the jump history
"Ctrl + o, Ctrl + o, Ctrl + o, Ctrl + o, Ctrl + i",move backward four times and then forward through the jump history
"Ctrl + o, Ctrl + o, Ctrl + o, Ctrl + o, Ctrl + i, Ctrl + i",move backward four times and then forward twice through the jump history
"Ctrl + o, Ctrl + o, Ctrl + o, Ctrl + o, Ctrl + i, Ctrl + i, Ctrl + i",move backward four times and then forward three times through the jump history
"Ctrl + o, Ctrl + o, Ctrl + o, Ctrl + o, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + i",move backward four times and then forward four times through the jump history
"Ctrl + o, Ctrl + o, Ctrl + o, Ctrl + o, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + o","move backward four times, forward four times, and then backward once through the jump history"
"Ctrl + o, Ctrl + o, Ctrl + o, Ctrl + o, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + o, Ctrl + i","move backward four times, forward four times, backward once, and then forward once through the jump history"
"Ctrl + o, Ctrl + o, Ctrl + o, Ctrl + o, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + o, Ctrl + i, Ctrl + o","move backward four times, forward four times, backward once, forward once, and then backward once through the jump history"
"Ctrl + o, Ctrl + o, Ctrl + o, Ctrl + o, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + o, Ctrl + i, Ctrl + o, Ctrl + i","move backward four times, forward four times, backward once, forward once, backward once, and then forward once through the jump history"
Ctrl + i,move forward through the jump history
Ctrl + o,move backward through the jump history
"Ctrl + i, Ctrl + o",toggle between previous and next jump locations
"Ctrl + i, Ctrl + i",move forward through the jump history twice
"Ctrl + o, Ctrl + o",move backward through the jump history twice
"Ctrl + i, Ctrl + o, Ctrl + i","move forward, then backward, then forward through the jump history"
"Ctrl + o, Ctrl + i, Ctrl + o","move backward, then forward, then backward through the jump history"
"Ctrl + i, Ctrl + o, Ctrl + i, Ctrl + o",toggle between previous and next jump locations twice
"Ctrl + i, Ctrl + i, Ctrl + o, Ctrl + o","move forward twice, then backward twice through the jump history"
"Ctrl + i, Ctrl + o, Ctrl + i, Ctrl + o, Ctrl + i","move forward, then backward, then forward, then backward through the jump history"
"Ctrl + i, Ctrl + i, Ctrl + o, Ctrl + o, Ctrl + i","move forward twice, then backward twice, then forward through the jump history"
"Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + o, Ctrl + o","move forward three times, then backward twice through the jump history"
"Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + o, Ctrl + o","move forward four times, then backward twice through the jump history"
"Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + o, Ctrl + o","move forward five times, then backward twice through the jump history"
"Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + o, Ctrl + o","move forward six times, then backward twice through the jump history"
"Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + o, Ctrl + o","move forward seven times, then backward twice through the jump history"
"Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + i, Ctrl + o, Ctrl + o","move forward eight times, then backward twice through the jump history"
H,move to the top of the screen (H=high)
Hj,move to the top of the screen and down one line
Hk,move to the top of the screen and up one line
H0,move to the top of the screen and to the beginning of the line
H$,move to the top of the screen and to the end of the line
Hw,move to the top of the screen and to the beginning of the next word
Hb,move to the top of the screen and to the beginning of the previous word
Hf,move to the top of the screen and forward one character
Hb,move to the top of the screen and backward one character
Hgg,move to the top of the screen and to the beginning of the file
HG,move to the top of the screen and to the end of the file
HdG,move to the top of the screen and delete from the current position to the end of the file
Hdd,move to the top of the screen and delete the current line
Hyy,move to the top of the screen and yank (copy) the current line
Hp,move to the top of the screen and paste after the current line
Hddp,"move to the top of the screen, delete the current line, and paste it after the next line"
H3j,move to the top of the screen and down three lines
H3k,move to the top of the screen and up three lines
M,move to the middle of the screen
H,move to the beginning of the line
L,move to the end of the line
0,move to the beginning of the line
$,move to the end of the line
gg,move to the beginning of the file
G,move to the end of the file
Ctrl+u,move up half a screen
Ctrl+d,move down half a screen
Ctrl+f,move forward one screen
Ctrl+b,move backward one screen
Ctrl+e,scroll the screen down one line
Ctrl+y,scroll the screen up one line
Ctrl+o,jump to the previous location in the jump list
Ctrl+i,jump to the next location in the jump list
Ctrl+g,display the current file name and position
"Ctrl+w, h",move to the window to the left
"Ctrl+w, j",move to the window below
"Ctrl+w, k",move to the window above
"Ctrl+w, l",move to the window to the right
L,move to the bottom of the screen (L=low)
dL,delete from the cursor to the bottom of the screen
yL,yank from the cursor to the bottom of the screen
cL,change from the cursor to the bottom of the screen
Lw,"move to the bottom of the screen, then to the beginning of the next word"
L$,"move to the bottom of the screen, then to the end of the line"
L0,"move to the bottom of the screen, then to the beginning of the line"
Lgg,"move to the bottom of the screen, then to the top of the file"
Ldd,"move to the bottom of the screen, then delete the current line"
Lyy,"move to the bottom of the screen, then yank the current line"
Lciw,"move to the bottom of the screen, then change the current word"
Ldiw,"move to the bottom of the screen, then delete the current word"
Lci(,"move to the bottom of the screen, then change the text inside parentheses"
Ldi(,"move to the bottom of the screen, then delete the text inside parentheses"
"Lci""","move to the bottom of the screen, then change the text inside double quotes"
"Ldi""","move to the bottom of the screen, then delete the text inside double quotes"
Lci',"move to the bottom of the screen, then change the text inside single quotes"
Ldi',"move to the bottom of the screen, then delete the text inside single quotes"
Lci{,"move to the bottom of the screen, then change the text inside curly braces"
Ldi{,"move to the bottom of the screen, then delete the text inside curly braces"
i,switch to insert mode before the cursor
I,switch to insert mode at the beginning of the line
a,switch to insert mode after the cursor
A,switch to insert mode at the end of the line
o,open a new line below and switch to insert mode
O,open a new line above and switch to insert mode
ea,switch to insert mode at the end of the current word
E,move to the end of the current word and switch to insert mode
ciw,change the current word and switch to insert mode
diw,delete the current word
yiw,yank the current word
c$,change from the cursor to the end of the line and switch to insert mode
d$,delete from the cursor to the end of the line
y$,yank from the cursor to the end of the line
c0,change from the cursor to the beginning of the line and switch to insert mode
d0,delete from the cursor to the beginning of the line
y0,yank from the cursor to the beginning of the line
c2w,change the next two words and switch to insert mode
d2w,delete the next two words
y2w,yank the next two words
I,insert text at the beginning of the line
IHello World,insert 'Hello World' at the beginning of the line
d0I,delete from the beginning of the line and insert text at the beginning
C0I,change from the beginning of the line and insert text at the beginning
I<Ctrl-R><Ctrl-W>,insert the word under the cursor at the beginning of the line
I<Ctrl-R><Ctrl-A>,insert the current date and time at the beginning of the line
I<Ctrl-R><Ctrl-F>,insert the current file name at the beginning of the line
I<Ctrl-R><Ctrl-L>,insert the current line number at the beginning of the line
I<Ctrl-R><Ctrl-P>,insert the previous command at the beginning of the line
I<Ctrl-R><Ctrl-N>,insert the next command at the beginning of the line
I<Ctrl-R><Ctrl-T>,insert the output of a shell command at the beginning of the line
I<Ctrl-R><Ctrl-D>,insert the current directory at the beginning of the line
I<Ctrl-R><Ctrl-K>,insert the current time at the beginning of the line
I<Ctrl-R><Ctrl-M>,insert the current mode at the beginning of the line
I<Ctrl-R><Ctrl-Y>,insert the current clipboard content at the beginning of the line
I<Ctrl-R><Ctrl-X><Ctrl-F>,insert the name of the file under the cursor at the beginning of the line
I<Ctrl-R><Ctrl-X><Ctrl-L>,insert the current line number at the beginning of the line
a,switch to insert mode after the cursor
aa,switch to insert mode after the cursor on the next line
aB,switch to insert mode after the cursor within the current block
aW,switch to insert mode after the cursor within the current WORD
a$,switch to insert mode after the cursor at the end of the line
a0,switch to insert mode after the cursor at the beginning of the line
a^,switch to insert mode after the cursor at the first non-blank character of the line
aG,switch to insert mode after the cursor at the end of the document
aH,switch to insert mode after the cursor at the top of the screen
aL,switch to insert mode after the cursor at the bottom of the screen
aM,switch to insert mode after the cursor at the middle of the screen
a%,"switch to insert mode after the cursor matching the parenthesis, bracket, or brace"
a/,switch to insert mode after the cursor at the beginning of the current sentence
a),switch to insert mode after the cursor at the beginning of the next sentence
a_,switch to insert mode after the cursor at the beginning of the current line
A,Insert text at the end of the line
A,Append text at the end of the current line
A,Enter insert mode at the end of the line
A,Move to the end of the line and start inserting
A,Add text after the last character of the line
A,Quickly add content to the end of the line
A,Jump to the end of the line and begin editing
A,Efficiently insert text at the line's end
A,Append new text after the current line's content
A,Move cursor to the end of the line and enter insert mode
A,Add new content at the end of the current line
A,Quickly navigate to the end of the line and start typing
A,Insert text after the last character on the line
A,Jump to the end of the line and begin inserting text
A,Efficiently add content to the end of the line
A,Move to the end of the line and start editing
A,Append new text after the current line's content
A,Quickly insert text at the end of the line
A,Jump to the end of the line and begin typing
o,open a new line below the current one
O,open a new line above the current one
o<Esc>,open a new line below and return to Normal mode
O<Esc>,open a new line above and return to Normal mode
o3<Esc>,open three new lines below and return to Normal mode
O3<Esc>,open three new lines above and return to Normal mode
oA<Esc>,open a new line below and append text after the cursor
O0<Esc>,open a new line above and insert text at the beginning of the line
oC<Esc>,open a new line below and change the current line
O3j<Esc>,open a new line above and move the cursor down three lines
o$<Esc>,open a new line below and move the cursor to the end of the line
O^<Esc>,open a new line above and move the cursor to the first non-blank character
o3k<Esc>,open three new lines below and move the cursor up three lines
O2l<Esc>,open two new lines above and move the cursor right two columns
o3w<Esc>,open three new lines below and move the cursor forward three words
O2b<Esc>,open two new lines above and move the cursor backward two words
o3e<Esc>,open three new lines below and move the cursor to the end of the third word
O2ge<Esc>,open two new lines above and move the cursor to the last non-blank character of the second line
o3gg<Esc>,open three new lines below and move the cursor to the beginning of the third line
O2G<Esc>,open two new lines above and move the cursor to the end of the second line
o3f<Esc>,open three new lines below and move the cursor to the next occurrence of 'f' in the third line
O2F<Esc>,open two new lines above and move the cursor to the previous occurrence of 'F' in the second line
O,open a new line above the current one
O0,open a new line above the current one and move to the beginning of the line
O$,open a new line above the current one and move to the end of the line
O3j,open a new line above the current one and move down three lines
O3k,open a new line above the current one and move up three lines
Ow,open a new line above the current one and move to the beginning of the next word
O3w,open a new line above the current one and move to the beginning of the third next word
O$,open a new line above the current one and move to the end of the line
O3$,open a new line above the current one and move to the end of the third next line
O0,open a new line above the current one and move to the beginning of the line
O30,open a new line above the current one and move to the beginning of the third next line
O3j,open a new line above the current one and move down three lines
O3k,open a new line above the current one and move up three lines
O3w,open a new line above the current one and move to the beginning of the third next word
O3$,open a new line above the current one and move to the end of the third next line
O30,open a new line above the current one and move to the beginning of the third next line
O3$,open a new line above the current one and move to the end of the third next line
O3j,open a new line above the current one and move down three lines
O3k,open a new line above the current one and move up three lines
O3w,open a new line above the current one and move to the beginning of the third next word
O3$,open a new line above the current one and move to the end of the third next line
O30,open a new line above the current one and move to the beginning of the third next line
O3$,open a new line above the current one and move to the end of the third next line
O3j,open a new line above the current one and move down three lines
O3k,open a new line above the current one and move up three lines
O3w,open a new line above the current one and move to the beginning of the third next word
O3$,open a new line above the current one and move to the end of the third next line
O30,open a new line above the current one and move to the beginning of the third next line
O3$,open a new line above the current one and move to the end of the third next line
O3j,open a new line above the current one and move down three lines
O3k,open a new line above the current one and move up three lines
O3w,open a new line above the current one and move to the beginning of the third next word
O3$,open a new line above the current one and move to the end of the third next line
O30,open a new line above the current one and move to the beginning of the third next line
O3$,open a new line above the current one and move to the end of the third next line
O3j,open a new line above the current one and move down three lines
O3k,open a new line above the current one and move up three lines
O3w,open a new line above the current one and move to the beginning of the third next word
O3$,open a new line above the current one and move to the end of the third next line
O30,open a new line above the current one and move to the beginning of the third next line
O3$,open a new line above the current one and move to the end of the third next line
O3j,open a new line above the current one and move down three lines
O3k,open a new line above the current one and move up three lines
O3w,open a new line above the current one and move to the beginning of the third next word
O3$,open a new line above the current one and move to the end of the third next line
O30,open a new line above the current one and move to the beginning of the third next line
O3$,open a new line above the current one and move to the end of the third next line
O3j,open a new line above the current one and move down three lines
O3k,open a new line above the current one and move up three lines
O3w,open a new line above the current one and move to the beginning of the third next word
O3$,open a new line above the current one and move to the end of the third next line
O30,open a new line above the current one and move to the beginning of the third next line
O3$,open a new line above the current one and move to the end of the third next line
O3j,open a new line above the current one and move down three lines
O3k,open a new line above the current one and move up three lines
O3w,open a new line above the current one and move to the beginning of the third next word
O3$,open a new line above the current one and move to the end of the third next line
O30,open a new line above the current one and move to the beginning of the third next line
O3$,open a new line above the current one and move to the end of the third next line
O3j,open a new line above the current one and move down three lines
O3k,open a new line above the current one and move up three lines
O3w,open a new line above the current one and move to the beginning of the third next word
O3$,open a new line above the current one and move to the end of the third next line
O30,open a new line above the current one and move to the beginning of the third next line
O3$,open a new line above the current one and move to the end of the third next line
O3j,open a new line above the current one and move down three lines
O3k,open a new line above the current one and move up three lines
O3w,open a new line above the current one and move to the beginning of the third next word
O3$,open a new line above the current one and move to the end of the third next line
O30,open a new line above the current one and move to the beginning of the third next line
ea,insert text at the end of the word
eaA,insert text at the end of the word and append a space
dwe,delete from cursor to the end of the word
cwe,change from cursor to the end of the word
ywe,yank from cursor to the end of the word
d$ea,delete from cursor to the end of the line and insert text at the end of the word
c$ea,change from cursor to the end of the line and insert text at the end of the word
y$ea,yank from cursor to the end of the line and insert text at the end of the word
d2we,delete two words forward from cursor
c2we,change two words forward from cursor
y2we,yank two words forward from cursor
d3ea,delete three words forward from cursor and insert text at the end of the word
c3ea,change three words forward from cursor and insert text at the end of the word
y3ea,yank three words forward from cursor and insert text at the end of the word
d2$ea,delete from cursor to the end of the line twice and insert text at the end of the word
c2$ea,change from cursor to the end of the line twice and insert text at the end of the word
y2$ea,yank from cursor to the end of the line twice and insert text at the end of the word
Esc,exit insert mode; switch to command mode
Esc,exit insert mode; switch to command mode; i: enter insert mode before the cursor
Esc,exit insert mode; switch to command mode; a: enter insert mode after the cursor
Esc,exit insert mode; switch to command mode; o: open a new line below and enter insert mode
Esc,exit insert mode; switch to command mode; O: open a new line above and enter insert mode
Esc,exit insert mode; switch to command mode; dd: delete the current line
Esc,exit insert mode; switch to command mode; yy: yank (copy) the current line
Esc,exit insert mode; switch to command mode; p: paste the yanked or deleted content after the cursor
Esc,exit insert mode; switch to command mode; P: paste the yanked or deleted content before the cursor
Esc,exit insert mode; switch to command mode; u: undo the last change
Esc,exit insert mode; switch to command mode; Ctrl+r: redo the undone change
Esc,exit insert mode; switch to command mode; /pattern: search forward for 'pattern'
Esc,exit insert mode; switch to command mode; ?pattern: search backward for 'pattern'
Esc,exit insert mode; switch to command mode; n: move to the next search result
Esc,exit insert mode; switch to command mode; N: move to the previous search result
Esc,exit insert mode; switch to command mode; :w: save the current file
Esc,exit insert mode; switch to command mode; :q: quit Vim
Esc,exit insert mode; switch to command mode; :wq: save and quit Vim
Esc,exit insert mode; switch to command mode; :x: save and quit Vim (same as :wq)
r,replace a single character (and return to command mode)
rA,replace the current character with 'A'
r1,replace the current character with '1'
r.,replace the current character with '.'
r/,replace the current character with ':'
r;,replace the current character with ';'
"r,","replace the current character with ','"
r?,replace the current character with '?'
r!,replace the current character with '!'
r@,replace the current character with '@'
r#,replace the current character with '#'
r$,replace the current character with '$'
r%,replace the current character with '%'
r^,replace the current character with '^'
r&,replace the current character with '&'
r*,replace the current character with '*'
r(,replace the current character with '('
r),replace the current character with ')'
r[,replace the current character with '['
r],replace the current character with ']'
r{,replace the current character with '{'
r<,replace the current character with '<'
r>,replace the current character with '>'
cc,replace an entire line (deletes the line and moves into insert mode)
dd,delete the current line
2dd,delete the current line and the line below
3dd,delete the current line and the next two lines
dG,delete from the current line to the end of the file
dgg,delete from the current line to the beginning of the file
d$,delete from the cursor position to the end of the line
d0,delete from the cursor position to the beginning of the line
daw,delete the word under the cursor along with surrounding whitespace
diw,delete the word under the cursor without surrounding whitespace
d2w,delete the current word and the next word
d3w,delete the current word and the next two words
d$w,delete from the cursor position to the end of the current word
d0w,delete from the cursor position to the beginning of the current word
d2j,delete the current line and the next line
d3j,delete the current line and the next two lines
d2k,delete the current line and the previous line
d3k,delete the current line and the previous two lines
dG,delete from the current line to the end of the file
dgg,delete from the current line to the beginning of the file
d$,delete from the cursor position to the end of the line
d0,delete from the cursor position to the beginning of the line
daw,delete the word under the cursor along with surrounding whitespace
diw,delete the word under the cursor without surrounding whitespace
d2w,delete the current word and the next word
d3w,delete the current word and the next two words
d$w,delete from the cursor position to the end of the current word
d0w,delete from the cursor position to the beginning of the current word
d2j,delete the current line and the next line
d3j,delete the current line and the next two lines
d2k,delete the current line and the previous line
d3k,delete the current line and the previous two lines
dG,delete from the current line to the end of the file
dgg,delete from the current line to the beginning of the file
d$,delete from the cursor position to the end of the line
d0,delete from the cursor position to the beginning of the line
daw,delete the word under the cursor along with surrounding whitespace
diw,delete the word under the cursor without surrounding whitespace
d2w,delete the current word and the next word
d3w,delete the current word and the next two words
d$w,delete from the cursor position to the end of the current word
d0w,delete from the cursor position to the beginning of the current word
d2j,delete the current line and the next line
d3j,delete the current line and the next two lines
d2k,delete the current line and the previous line
d3k,delete the current line and the previous two lines
dG,delete from the current line to the end of the file
dgg,delete from the current line to the beginning of the file
d$,delete from the cursor position to the end of the line
d0,delete from the cursor position to the beginning of the line
daw,delete the word under the cursor along with surrounding whitespace
diw,delete the word under the cursor without surrounding whitespace
d2w,delete the current word and the next word
d3w,delete the current word and the next two words
d$w,delete from the cursor position to the end of the current word
